x;y
-143;-130
-142;-130
-135;-130
-132;-130
-128;-130
-124;-130
-117;-130
-113;-130
-110;-130
-106;-130
-99;-130
-94;-130
-90;-130
-85;-130
-75;-130
-71;-130
-67;-130
-63;-130
-56;-130
-52;-130
-48;-130
-44;-130
-35;-130
-30;-130
-25;-130
-20;-130
-13;-130
-9;-130
-5;-130
1;-130
5;-130
8;-130
11;-130
18;-130
21;-130
24;-130
29;-130
29;-130
34;-130
36;-130
39;-130
45;-130
48;-130
52;-130
55;-130
61;-130
63;-130
66;-130
68;-130
73;-130
75;-130
77;-130
79;-130
82;-130
84;-130
85;-130
87;-130
91;-130
93;-130
95;-130
99;-130
99;-130
104;-130
107;-130
109;-130
114;-130
116;-130
117;-130
121;-130
121;-130
124;-130
124;-130
124;-130
124;-130
124;-130
124;-130
124;-130
124;-130
124;-130
124;-130
124;-130
124;-130
124;-130
124;-130
124;-130
124;-130
124;-130
