x;y
-112;122
-109;122
-107;122
-104;122
-102;122
-99;122
-94;122
-92;122
-89;122
-84;122
-82;122
-80;122
-76;122
-74;122
-72;122
-70;122
-68;122
-66;122
-62;122
-58;122
-56;122
-53;122
-51;122
-48;122
-46;122
-43;122
-39;122
-34;122
-32;122
-30;122
-28;122
-25;122
-23;122
-21;122
-17;122
-12;122
-9;122
-7;122
-5;122
-2;122
0;122
4;122
7;122
12;122
14;122
17;122
19;122
22;122
24;122
27;122
32;122
37;122
39;122
41;122
44;122
46;122
48;122
52;122
54;122
56;122
60;122
62;122
64;122
66;122
70;122
73;122
75;122
78;122
80;122
85;122
88;122
90;122
93;122
98;122
100;122
102;122
105;122
107;122
109;122
110;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
111;122
112;122
115;122
117;122
118;122
120;122
121;122
121;122
121;122
