;;x;y;fx;fy
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;0
;;120;-120;0;106
;;120;-120;0;106
;;120;-120;0;106
;;120;-120;0;106
;;120;-120;0;106
;;120;-119;0;302
;;120;-115;0;302
;;120;-112;0;302
;;120;-108;0;302
;;120;-101;0;302
;;120;-97;0;364
;;120;-93;0;364
;;120;-90;0;364
;;120;-83;0;364
;;120;-79;0;364
;;120;-75;0;364
;;120;-72;0;355
;;120;-64;0;355
;;120;-60;0;355
;;120;-57;0;355
;;120;-53;0;355
;;120;-46;0;344
;;120;-42;0;344
;;120;-39;0;344
;;120;-35;0;344
;;120;-28;0;331
;;120;-24;0;331
;;120;-20;0;331
;;120;-17;0;331
;;120;-9;0;331
;;120;-6;0;293
;;120;-2;0;293
;;120;0;0;293
;;120;8;0;293
;;120;11;0;293
;;120;15;0;251
;;120;20;0;251
;;120;30;0;251
;;120;34;0;251
;;120;39;0;251
;;120;43;0;123
;;120;47;50;123
;;120;48;50;123
;;120;50;50;123
;;120;52;50;123
;;120;55;50;112
;;120;56;62;112
;;120;58;62;112
;;120;59;62;112
;;120;62;62;112
;;120;64;62;139
;;120;66;62;139
;;120;68;74;139
;;120;72;74;139
;;120;74;74;139
;;120;77;74;196
;;120;80;74;196
;;120;87;98;196
;;120;90;98;196
;;120;93;98;196
;;120;95;98;106
;;120;95;135;106
;;122;95;135;106
;;124;95;135;106
;;126;95;135;106
;;130;95;135;47
;;132;95;149;47
;;134;95;149;47
;;136;95;149;47
;;141;95;149;35
;;143;95;149;35
;;144;95;0;35
;;144;95;0;35
;;144;95;0;35
;;144;95;0;191
;;144;98;0;191
;;144;101;0;191
;;144;107;0;191
;;144;110;0;191
;;144;113;0;0
;;144;113;0;0
;;144;113;0;0
;;144;113;0;0
;;144;113;0;0
;;144;113;0;0
;;144;113;0;0
;;144;113;0;0
;;144;113;0;0
;;144;113;0;0
;;144;113;0;30
;;144;113;0;30
;;144;113;0;30
;;144;113;0;30
;;144;113;-36;30
;;144;113;-36;0
;;144;113;-36;0
;;144;113;-36;0
;;144;113;-49;0
;;144;113;-49;0
;;144;113;-49;0
;;144;113;-49;0
;;144;113;-49;0
;;144;113;-74;0
;;144;113;-74;0
;;144;113;-74;0
;;144;113;-74;0
;;144;113;-74;0
;;144;113;-67;0
;;144;113;-67;0
;;144;113;-67;0
;;144;113;-67;0
;;144;113;-67;0
;;144;113;-46;0
;;144;113;-46;79
;;144;113;-46;79
;;144;113;-46;79
;;144;113;-46;79
;;144;113;-29;79
;;144;113;-29;79
;;144;116;-29;203
;;144;120;-29;203
;;144;126;-29;203
;;144;129;-28;203
;;144;130;-28;203
;;144;130;-28;0
;;144;130;-28;-48
;;144;130;-28;-48
;;144;130;-53;-48
;;144;130;-53;-48
;;144;130;-53;-48
;;144;128;-53;-195
;;144;125;-53;-195
;;144;121;-99;-195
;;144;115;-99;-195
;;144;112;-99;-195
;;144;110;-99;-107
;;144;110;-99;-107
;;142;110;-125;-107
;;140;110;-125;-107
;;139;110;-125;-107
;;137;110;-125;-122
;;133;106;-205;-122
;;130;104;-205;-122
;;127;103;-205;-122
;;123;101;-205;-122
;;117;98;-205;-111
;;113;97;-204;-111
;;110;95;-204;-111
;;107;94;-204;-111
;;100;91;-204;-119
;;97;89;-204;-119
;;94;88;-204;-119
;;91;86;-178;-119
;;86;83;-178;-119
;;83;82;-178;-119
;;78;78;-178;-115
;;76;77;-178;-115
;;73;75;-153;-115
;;71;74;-153;-115
;;67;72;-153;-109
;;65;72;-153;-109
;;62;72;-153;-109
;;61;72;-129;-109
;;59;72;-129;-109
;;57;72;-129;-109
;;54;69;-129;-162
;;52;66;-129;-162
;;51;64;-101;-162
;;51;61;-101;-162
;;51;56;-101;-166
;;51;54;-101;-166
;;51;51;-101;-166
;;51;49;-106;-166
;;51;44;-106;-166
;;51;41;-106;-182
;;51;39;-106;-182
;;51;36;-106;-182
;;49;31;-140;-182
;;47;29;-140;-182
;;45;26;-140;-180
;;43;24;-140;-180
;;39;19;-157;-180
;;37;16;-157;-180
;;35;14;-157;-180
;;32;11;-157;-174
;;28;6;-157;-174
;;26;3;-157;-174
;;24;1;-160;-174
;;21;-1;-160;-174
;;16;-6;-160;-181
;;14;-8;-160;-181
;;11;-11;-160;-181
;;9;-13;-157;-181
;;5;-18;-157;-181
;;3;-20;-157;-158
;;1;-22;-157;-158
;;0;-24;-157;-158
;;-5;-29;-177;-158
;;-8;-31;-177;-158
;;-10;-33;-177;-157
;;-13;-35;-177;-157
;;-18;-39;-186;-157
;;-20;-41;-186;-157
;;-23;-43;-186;-157
;;-26;-46;-186;-256
;;-30;-56;-186;-256
;;-33;-60;-160;-256
;;-35;-65;-160;-256
;;-38;-70;-160;-256
;;-42;-76;-160;-153
;;-44;-78;-160;-153
;;-47;-80;-167;-153
;;-52;-84;-167;-153
;;-54;-86;-167;-112
;;-57;-88;-167;-112
;;-59;-89;-167;-112
;;-64;-92;-170;-112
;;-67;-94;-170;-112
;;-69;-95;-170;-130
;;-74;-99;-170;-130
;;-77;-100;-170;-130
;;-79;-102;-138;-130
;;-81;-104;-138;-130
;;-84;-107;-138;-133
;;-86;-109;-138;-133
;;-88;-111;-138;-133
;;-88;-112;-91;-133
;;-88;-114;-91;-133
;;-88;-116;-91;-133
;;-88;-119;-91;-130
;;-88;-121;-91;-130
;;-88;-123;-73;-130
;;-88;-126;-73;-130
;;-88;-128;-73;-128
;;-88;-130;-73;-128
;;-88;-130;-69;-128
;;-88;-130;-69;-128
;;-88;-130;-69;-128
;;-88;-130;-69;-47
;;-88;-130;-69;-47
;;-88;-130;-90;-47
;;-88;-130;-90;-47
;;-88;-130;-90;-47
;;-88;-130;-90;-47
;;-88;-130;-90;0
;;-88;-130;-34;0
;;-88;-130;-34;0
;;-88;-130;-34;0
;;-88;-130;-34;0
;;-88;-130;-34;0
;;-89;-130;-212;0
;;-96;-130;-212;0
;;-96;-130;-212;0
;;-104;-130;-212;0
;;-107;-130;-212;0
;;-111;-130;-267;0
;;-120;-130;-267;0
;;-124;-130;-267;0
;;-129;-130;-267;0
;;-137;-130;-267;0
;;-139;-130;-68;0
;;-139;-130;-68;0
;;-139;-130;-68;0
;;-139;-130;-68;109
