x;y
138;-120
138;-118
138;-116
138;-113
138;-111
138;-109
138;-108
138;-106
136;-103
134;-101
132;-99
129;-99
127;-99
123;-99
115;-99
112;-99
108;-99
104;-99
96;-99
93;-99
89;-98
86;-96
79;-93
75;-91
72;-90
69;-88
65;-86
59;-82
55;-80
51;-78
47;-76
44;-74
37;-71
31;-68
27;-66
24;-62
21;-59
18;-56
16;-53
14;-50
9;-42
7;-37
5;-33
2;-25
0;-21
-1;-18
-2;-15
-6;-8
-7;-5
-9;-2
-11;1
-15;8
-16;12
-18;15
-20;18
-23;23
-25;25
-26;27
-28;29
-31;32
-33;32
-35;32
-38;32
-39;32
-41;34
-43;37
-44;40
-48;47
-49;50
-51;54
-54;60
-55;63
-55;67
-55;70
-55;75
-55;77
-55;79
-55;81
-55;85
-55;85
-55;85
-56;85
-57;85
-61;85
-62;85
-64;85
-66;85
-70;85
-73;85
-75;85
-80;85
-82;85
-84;85
-86;85
-90;85
-92;85
-94;85
-95;85
-99;86
-101;87
-102;89
-104;90
-106;92
-109;95
-111;97
-113;99
-114;101
-114;103
-114;106
-114;110
-114;113
-114;115
-114;118
-114;123
-114;123
-114;123
-114;123
-114;123
-114;123
-114;123
-114;123
-114;123
-114;123
-114;123
-114;123
-114;123
-114;123
-114;123
-114;123
-114;123
