x;y
-114;123
-112;123
-108;123
-105;123
-102;123
-96;123
-92;123
-89;123
-86;123
-79;123
-76;123
-73;123
-71;123
-68;123
-63;123
-61;123
-58;123
-55;123
-52;123
-45;123
-42;123
-39;123
-34;123
-24;123
-20;123
-10;123
-7;123
-4;123
2;123
5;123
8;123
12;123
16;123
19;123
27;123
31;123
34;123
37;123
44;123
47;123
53;123
55;123
58;123
60;123
63;123
65;123
70;123
73;123
75;123
78;123
83;123
86;123
91;123
93;123
96;123
98;123
100;123
104;123
106;123
108;123
110;123
110;123
110;123
110;123
110;123
110;123
110;123
110;123
110;123
110;123
110;123
110;123
110;123
110;123
110;123
110;123
115;123
118;123
121;123
