time;x;y;fx;fy
63;120;-120;0;0
126;120;-120;0;88
189;120;-120;0;88
252;120;-120;0;88
315;120;-120;0;88
378;120;-120;0;88
441;120;-117;0;252
504;120;-107;0;252
567;120;-102;0;252
630;120;-98;0;252
693;120;-93;-27;252
756;120;-85;-27;313
819;120;-82;-27;313
882;120;-78;-27;313
945;120;-74;-27;313
1008;120;-67;0;313
1071;120;-63;0;257
1134;120;-58;0;257
1197;120;-53;0;257
1260;120;-44;0;257
1323;120;-39;0;257
1386;120;-35;0;263
1449;120;-30;0;263
1512;120;-20;0;263
1575;120;-16;0;263
1638;120;-11;0;263
1701;120;-6;0;235
1764;120;0;0;235
1827;120;3;0;235
1890;120;6;0;235
1953;120;10;0;235
2016;120;16;0;210
2079;120;19;0;210
2142;120;23;0;210
2205;120;26;0;210
2268;120;32;0;210
2331;120;37;0;243
2394;120;41;0;243
2457;120;46;0;243
2520;120;55;0;243
2583;120;60;0;243
2646;120;65;0;243
2709;120;69;0;210
2772;120;75;0;210
2835;120;79;0;210
2898;120;82;0;210
2961;120;85;0;210
3024;120;91;0;178
3087;120;93;0;178
3150;120;96;0;178
3213;120;98;0;178
3276;120;103;0;171
3339;120;106;0;171
3402;120;108;0;171
3465;120;111;0;171
3528;120;116;0;171
3591;120;118;0;110
3654;120;118;0;110
3717;120;118;0;110
3780;120;118;0;110
3843;120;118;0;110
3906;120;118;0;39
3969;120;118;0;39
4032;120;118;0;39
4095;120;118;0;39
4158;120;118;0;39
4221;120;118;0;39
4284;120;118;0;0
4347;120;118;0;0
4410;120;118;0;0
4473;120;118;0;0
4536;120;118;0;0
4599;120;118;0;0
4662;120;118;0;0
4725;120;118;0;0
4788;120;118;0;0
4851;120;118;0;0
4914;120;118;-27;0
4977;120;118;-27;0
5040;120;118;-27;0
5103;120;118;-27;0
5166;120;118;-27;0
5229;120;118;-27;0
5292;120;118;-54;0
5355;120;118;-54;0
5418;120;118;-54;0
5481;120;118;-54;0
5544;120;118;-86;0
5607;120;118;-86;0
5670;120;118;-86;0
5733;120;118;-86;0
5796;120;118;-86;0
5859;120;118;-73;0
5922;120;118;-73;0
5985;120;118;-73;0
6048;120;118;-73;0
6111;120;118;-73;0
6174;120;118;-69;0
6237;120;118;-69;0
6300;120;118;-69;0
6363;120;118;-69;0
6426;120;118;-69;0
6489;120;118;-69;0
6552;120;118;-93;-28
6615;120;118;-93;-28
6678;120;118;-93;-28
6741;120;118;-93;-28
6804;118;118;-161;-75
6867;115;118;-161;-75
6930;113;118;-161;-75
6993;111;118;-161;-75
7056;106;118;-161;-75
7119;104;118;-166;-98
7182;101;118;-166;-98
7245;99;118;-166;-98
7308;94;118;-166;-98
7371;92;118;-166;-98
7434;90;117;-124;-189
7497;88;114;-124;-189
7560;85;109;-124;-189
7623;83;106;-124;-189
7686;81;103;-124;-189
7749;80;100;-106;-264
7812;80;90;-106;-264
7875;80;85;-106;-264
7938;80;81;-106;-264
8001;80;76;-106;-264
8064;78;69;-130;-182
8127;76;66;-130;-182
8190;75;63;-130;-182
8253;73;61;-130;-182
8316;70;56;-130;-191
8379;68;53;-206;-191
8442;65;50;-206;-191
8505;61;46;-206;-191
8568;55;40;-206;-191
8631;52;37;-206;-191
8694;49;35;-206;-140
8757;45;33;-204;-140
8820;39;29;-204;-140
8883;35;27;-204;-140
8946;32;25;-204;-140
9009;29;23;-204;-150
9072;23;19;-176;-150
9135;21;17;-176;-150
9198;18;15;-176;-150
9261;16;13;-176;-150
9324;11;8;-168;-144
9387;8;6;-168;-144
9450;6;4;-168;-144
9513;3;2;-168;-144
9576;-1;-1;-168;-167
9639;-3;-3;-168;-167
9702;-6;-6;-168;-167
9765;-8;-8;-168;-167
9828;-13;-13;-168;-167
9891;-16;-16;-168;-157
9954;-18;-18;-175;-157
10017;-23;-22;-175;-157
10080;-26;-24;-175;-157
10143;-28;-26;-175;-157
10206;-33;-31;-155;-161
10269;-33;-31;-155;-161
10332;-38;-35;-155;-161
10395;-40;-37;-155;-161
10458;-42;-39;-155;-161
10521;-44;-41;-155;-168
10584;-48;-46;-125;-168
