;time;x;y;fx;fy
;63;120;-120;0;40
;126;120;-120;0;40
;189;120;-120;0;40
;252;120;-120;0;40
;315;120;-120;0;42
;378;120;-120;0;42
;441;120;-120;0;42
;504;120;-120;0;42
;567;120;-120;0;42
;630;120;-120;0;90
;693;120;-120;0;90
;756;120;-120;0;90
;819;120;-120;0;90
;882;120;-120;0;93
;945;120;-120;0;93
;1008;120;-120;0;93
;1071;120;-120;0;93
;1134;120;-120;0;93
;1197;120;-119;0;308
;1260;120;-115;0;308
;1323;120;-112;0;308
;1386;120;-104;0;308
;1449;120;-101;0;308
;1512;120;-97;0;386
;1575;120;-93;0;386
;1638;120;-86;0;386
;1701;120;-82;0;386
;1764;120;-79;0;386
;1827;120;-75;0;360
;1890;120;-68;0;360
;1953;120;-64;0;360
;2016;120;-61;0;360
;2079;120;-57;0;360
;2142;120;-50;0;364
;2205;120;-46;0;364
;2268;120;-42;0;364
;2331;120;-39;0;364
;2394;120;-31;0;364
;2457;120;-28;0;340
;2520;120;-24;0;340
;2583;120;-20;0;340
;2646;120;-13;0;340
;2709;120;-9;0;340
;2772;120;-6;0;320
;2835;120;-2;0;320
;2898;120;4;0;320
;2961;120;8;0;320
;3024;120;12;0;320
;3087;120;15;0;327
;3150;120;23;0;327
;3213;120;26;0;327
;3276;120;30;0;327
;3339;120;33;0;327
;3402;120;42;0;275
;3465;120;47;0;275
;3528;120;51;0;275
;3591;120;56;0;275
;3654;120;66;0;244
;3717;120;70;0;244
;3780;120;75;0;244
;3843;120;80;0;244
;3906;120;89;0;244
;3969;120;94;0;187
;4032;120;97;0;187
;4095;120;99;0;187
;4158;120;104;0;187
;4221;120;107;0;187
;4284;120;109;0;187
;4347;120;110;0;0
;4410;120;110;0;0
;4473;120;110;0;0
;4536;120;110;0;0
;4599;120;110;0;0
;4662;120;110;0;48
;4725;120;110;0;48
;4788;120;110;0;48
;4851;120;110;0;48
;4914;120;111;0;165
;4977;120;113;0;165
;5040;120;116;0;165
;5103;120;118;0;165
;5166;120;123;0;165
;5229;120;125;0;84
;5292;120;125;0;84
;5355;120;125;0;84
;5418;120;125;0;84
;5481;120;125;0;84
;5544;120;125;0;0
;5607;120;125;0;0
;5670;120;125;0;-72
;5733;120;125;0;-72
;5796;120;125;0;-72
;5859;120;125;0;-72
;5922;120;125;0;-55
;5985;120;125;0;-55
;6048;120;125;-29;-55
;6111;120;125;-29;-55
;6174;120;125;-29;-55
;6237;120;125;-29;-99
;6300;120;125;-29;-99
;6363;120;125;-29;-99
;6426;120;125;-87;-99
;6489;120;125;-87;-99
;6552;120;125;-87;-99
;6615;120;123;-87;-144
;6678;118;119;-132;-144
;6741;116;117;-132;-144
;6804;115;115;-132;-144
;6867;113;113;-132;-144
;6930;110;109;-132;-145
;6993;108;107;-132;-145
;7056;105;105;-195;-145
;7119;102;103;-195;-145
;7182;96;99;-195;-130
;7245;93;97;-195;-130
;7308;91;95;-195;-130
;7371;87;94;-223;-130
;7434;81;90;-223;-130
;7497;77;89;-223;-127
;7560;74;87;-223;-127
;7623;71;85;-223;-127
;7686;64;82;-213;-127
;7749;61;80;-213;-127
;7812;57;79;-213;-130
;7875;54;77;-213;-130
;7938;47;73;-209;-130
;8001;44;72;-209;-130
;8064;41;70;-209;-130
;8127;37;68;-209;-153
;8190;31;64;-209;-153
;8253;28;62;-174;-153
;8316;25;60;-174;-153
;8379;23;58;-174;-153
;8442;18;53;-174;-195
;8505;15;50;-174;-195
;8568;13;47;-174;-195
;8631;11;44;-135;-195
;8694;7;38;-135;-195
;8757;5;35;-135;-209
;8820;3;32;-135;-209
;8883;1;28;-135;-209
;8946;-3;22;-165;-209
;9009;-5;18;-165;-209
;9072;-8;16;-165;-186
;9135;-10;13;-165;-186
;9198;-15;8;-183;-186
;9261;-18;6;-183;-186
;9324;-20;3;-183;-186
;9387;-23;1;-183;-186
;9450;-28;-5;-183;-234
;9513;-30;-9;-151;-234
;9576;-32;-12;-151;-234
;9639;-34;-16;-151;-234
;9702;-38;-23;-151;-234
;9765;-40;-27;-151;-234
;9828;-42;-30;-131;-234
;9891;-44;-34;-131;-234
;9954;-47;-41;-131;-234
;10017;-49;-44;-131;-204
;10080;-51;-47;-131;-204
;10143;-52;-51;-152;-204
;10206;-57;-57;-152;-204
;10269;-59;-60;-152;-204
;10332;-61;-64;-152;-201
;10395;-63;-67;-152;-201
;10458;-67;-74;-171;-201
;10521;-70;-77;-171;-201
;10584;-72;-80;-171;-201
;10647;-75;-83;-171;-157
;10710;-80;-88;-171;-157
;10773;-82;-90;-143;-157
;10836;-84;-92;-143;-157
;10899;-86;-94;-143;-157
;10962;-90;-98;-143;-166
;11025;-92;-101;-143;-166
;11088;-94;-103;-121;-166
;11151;-95;-106;-121;-166
;11214;-99;-111;-121;-166
;11277;-100;-113;-121;-111
;11340;-104;-116;-117;-111
;11403;-105;-117;-117;-111
;11466;-107;-119;-117;-111
;11529;-108;-120;-117;-111
;11592;-110;-121;-117;-53
;11655;-112;-121;-99;-53
;11718;-112;-121;-99;-53
;11781;-112;-121;-99;-53
;11844;-112;-121;-99;-53
;11907;-112;-121;-99;-36
;11970;-112;-121;-99;-36
;12033;-112;-121;-48;-36
