x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-117
120;-114
120;-111
120;-108
120;-101
120;-97
120;-92
120;-88
120;-78
120;-73
120;-69
120;-66
120;-59
120;-56
120;-53
120;-50
120;-43
120;-40
120;-36
120;-33
120;-26
120;-23
120;-20
120;-17
120;-10
120;-7
120;-3
120;0
120;6
120;9
120;12
120;15
120;22
120;25
120;28
120;32
120;38
120;42
120;45
120;48
120;54
120;57
120;59
120;62
120;67
120;69
120;72
120;74
120;80
120;82
120;84
120;87
120;91
120;93
120;95
120;97
120;100
120;102
120;104
120;106
120;107
120;107
120;107
120;107
120;107
120;109
120;111
120;113
120;117
120;119
120;121
120;123
120;128
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
