x;y
120;130
120;129
120;125
120;123
120;121
120;119
120;115
120;112
120;110
120;107
120;102
120;100
120;98
120;97
114;93
112;92
109;90
105;88
99;84
94;82
89;80
84;79
73;79
69;79
66;79
63;79
58;79
55;79
52;79
50;79
46;78
44;76
42;73
40;71
36;65
34;63
32;60
30;56
26;50
24;46
22;43
20;40
16;35
14;33
11;30
9;28
4;23
1;21
0;19
-2;17
-6;13
-8;11
-10;9
-12;7
-16;3
-17;0
-19;-1
-21;-4
-24;-9
-26;-11
-28;-14
-31;-19
-33;-21
-35;-24
-37;-26
-39;-29
-43;-33
-45;-35
-47;-37
-49;-39
-54;-44
-56;-46
-58;-48
-60;-50
-64;-54
-66;-56
-68;-58
-70;-60
-74;-64
-75;-66
-77;-68
-79;-70
-81;-75
-81;-77
-81;-80
-81;-82
-81;-86
-82;-87
-83;-89
-85;-90
-88;-92
-89;-92
-91;-92
-94;-92
-98;-92
-101;-92
-103;-92
-105;-92
-110;-92
-112;-92
-115;-93
-117;-96
-118;-101
-118;-103
-118;-106
-118;-108
-118;-114
-118;-116
-118;-119
-118;-121
-118;-124
-118;-124
-120;-124
-125;-124
-128;-124
-130;-124
-134;-124
-136;-124
-137;-124
-139;-124
-140;-124
-142;-124
