x;y
109;-120
112;-120
114;-120
118;-120
118;-120
122;-120
122;-120
122;-120
122;-120
122;-120
122;-120
122;-120
122;-120
122;-120
122;-120
122;-120
122;-120
122;-120
122;-120
122;-120
122;-120
117;-120
115;-120
113;-120
110;-120
105;-120
103;-120
100;-120
97;-118
92;-111
90;-107
87;-103
83;-95
80;-91
78;-86
70;-77
66;-72
62;-69
58;-66
54;-63
47;-58
44;-56
41;-53
37;-50
31;-43
29;-39
27;-35
26;-32
22;-25
20;-21
19;-17
17;-13
14;-5
13;-1
11;2
10;6
6;14
5;16
3;17
1;19
0;21
-5;25
-7;26
-10;26
-14;26
-17;26
-19;26
-21;26
-24;26
-28;26
-30;26
-33;26
-35;26
-40;26
-42;26
-44;26
-48;26
-50;29
-52;33
-55;39
-57;42
-59;46
-61;48
-62;51
-64;53
-67;58
-68;61
-70;63
-73;66
-74;68
-76;69
-78;71
-81;72
-83;72
-83;72
-83;72
-83;74
-83;77
-83;80
-83;87
-83;90
-83;93
-83;97
-83;100
-86;107
-88;110
-90;112
-92;112
-96;112
-98;112
-102;112
-106;112
-113;112
-117;112
-120;112
-120;112
-120;112
-120;112
-120;112
-120;112
-120;112
-120;112
-120;112
-120;112
