x;y
120;122
120;122
120;122
120;117
120;115
120;112
120;110
120;107
120;102
120;100
120;97
120;92
120;89
120;87
120;84
119;82
112;77
109;74
106;71
99;64
95;61
92;58
88;54
81;49
78;47
73;46
68;44
58;41
54;41
49;41
46;41
42;41
34;41
31;39
28;38
22;34
20;33
17;31
15;29
10;25
7;23
5;21
2;19
-2;14
-4;11
-7;9
-9;6
-12;4
-17;0
-19;-3
-22;-5
-26;-10
-28;-13
-30;-15
-32;-17
-36;-20
-37;-22
-39;-24
-41;-26
-44;-29
-46;-31
-47;-33
-50;-36
-52;-39
-53;-41
-53;-43
-53;-45
-53;-50
-53;-53
-53;-56
-55;-60
-60;-66
-62;-71
-64;-75
-67;-80
-75;-89
-79;-94
-83;-96
-91;-99
-94;-101
-96;-102
-99;-104
-101;-105
-107;-109
-108;-112
-108;-114
-108;-116
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
-108;-117
