x;y
116;-112
116;-112
116;-112
116;-112
116;-112
116;-112
116;-112
116;-112
111;-112
109;-112
106;-112
103;-112
100;-112
97;-109
90;-103
87;-100
84;-97
80;-94
77;-90
74;-82
72;-78
68;-71
66;-67
64;-63
62;-59
60;-55
58;-51
54;-43
50;-36
49;-32
47;-29
45;-25
43;-22
41;-17
39;-13
34;-4
32;0
30;4
25;11
22;14
20;17
17;21
11;25
8;25
4;25
0;25
-7;25
-11;25
-15;25
-22;25
-26;25
-30;25
-36;29
-38;33
-40;36
-43;39
-48;45
-50;49
-52;52
-53;55
-57;62
-59;64
-62;64
-64;64
-66;64
-69;64
-71;64
-76;66
-78;68
-79;70
-84;74
-86;76
-86;80
-86;83
-86;91
-86;94
-86;98
-86;101
-86;108
-86;111
-86;114
-86;119
-86;119
-86;119
