x;y
-128;-129
-126;-129
-124;-129
-121;-129
-119;-129
-117;-129
-113;-129
-107;-129
-104;-129
-100;-129
-97;-129
-94;-129
-86;-129
-83;-129
-79;-129
-75;-129
-68;-129
-64;-129
-61;-129
-57;-129
-50;-129
-46;-129
-43;-129
-39;-129
-32;-129
-28;-129
-24;-129
-21;-129
-13;-129
-10;-129
-6;-129
0;-129
4;-129
7;-129
11;-129
18;-129
22;-129
26;-129
29;-129
37;-129
40;-129
44;-129
48;-129
51;-129
59;-129
62;-129
66;-129
69;-129
77;-129
80;-129
80;-129
80;-129
80;-129
80;-129
80;-129
80;-129
80;-129
80;-129
80;-129
80;-129
86;-129
90;-129
93;-129
101;-129
104;-129
108;-129
115;-129
119;-129
123;-129
125;-129
125;-129
125;-129
125;-129
125;-129
125;-129
125;-129
125;-129
125;-129
125;-129
125;-129
125;-129
125;-129
125;-129
125;-129
125;-129
125;-129
125;-129
