;;x;y;fx;fy;;;;;
;;120;-120;0;0;;;;;
;;120;-120;0;0;;;;;
;;120;-120;0;0;;;;;
;;120;-120;0;0;;;;;
;;120;-120;0;0;;;;;
;;120;-120;0;0;;;;;
;;120;-120;0;0;;;;;
;;120;-120;0;0;;;;;
;;120;-120;0;0;;;;;
;;120;-120;0;0;;;;;
;;120;-120;0;0;;;;;
;;120;-120;0;0;;;;;
;;120;-120;0;0;;;;;
;;120;-120;0;0;;;;;
;;120;-119;0;119;;;;;
;;120;-118;0;119;;;;;
;;120;-116;0;119;;;;;
;;120;-113;0;119;;;;;
;;120;-112;0;119;;;;;
;;120;-110;0;325;;;;;
;;120;-107;0;325;;;;;
;;120;-103;0;325;;;;;
;;120;-96;0;325;;;;;
;;120;-92;0;325;;;;;
;;120;-85;0;331;;;;;
;;120;-85;0;331;;;;;
;;120;-78;0;331;;;;;
;;120;-74;0;331;;;;;
;;120;-70;0;331;;;;;
;;120;-67;0;331;;;;;
;;120;-59;0;313;;;;;
;;120;-56;0;313;;;;;
;;120;-52;0;313;;;;;
;;120;-48;0;313;;;;;
;;120;-41;0;312;;;;;
;;120;-37;0;312;;;;;
;;120;-34;0;312;;;;;
;;120;-26;0;312;;;;;
;;120;-23;0;312;;;;;
;;120;-19;0;298;;;;;
;;120;-15;0;298;;;;;
;;120;-12;0;298;;;;;
;;120;-5;0;298;;;;;
;;120;-1;0;298;;;;;
;;120;2;0;277;;;;;
;;120;7;0;277;;;;;
;;120;16;0;277;;;;;
;;120;21;0;277;;;;;
;;120;26;0;277;;;;;
;;120;34;0;233;;;;;
;;120;37;0;233;;;;;
;;120;40;0;233;;;;;
;;120;44;0;233;;;;;
;;120;50;0;114;;;;;
;;120;52;0;114;;;;;
;;120;53;0;114;;;;;
;;120;55;0;114;;;;;
;;120;58;0;114;;;;;
;;120;59;0;114;;;;;
;;120;62;0;177;;;;;
;;120;64;0;177;;;;;
;;120;67;0;177;;;;;
;;120;72;0;177;;;;;
;;120;74;0;177;;;;;
;;120;77;0;191;;;;;
;;120;80;0;191;;;;;
;;120;86;0;191;;;;;
;;120;89;0;191;;;;;
;;120;92;0;191;;;;;
;;120;98;0;189;;;;;
;;120;101;48;189;;;;;
;;120;104;48;189;;;;;
;;120;107;48;189;;;;;
;;120;112;48;42;;;;;
;;120;112;48;42;;;;;
;;120;112;43;42;;;;;
;;120;112;43;42;;;;;
;;120;112;43;42;;;;;
;;120;112;43;0;;;;;
;;120;112;43;0;;;;;
;;120;112;34;0;;;;;
;;120;112;34;0;;;;;
;;120;112;34;0;;;;;
;;120;112;34;0;;;;;
;;120;112;34;0;;;;;
;;120;112;0;0;;;;;
;;120;112;0;0;;;;;
;;120;112;0;0;;;;;
;;120;112;0;0;;;;;
;;120;112;0;0;;;;;
;;120;112;-47;0;;;;;
;;120;112;-47;0;;;;;
;;120;112;-47;0;;;;;
;;120;112;-47;0;;;;;
;;120;112;-47;-33;;;;;
;;120;112;-47;-33;;;;;
;;120;112;-109;-33;;;;;
;;120;112;-109;-33;;;;;
;;120;112;-109;-33;;;;;
;;120;112;-109;-64;;;;;
;;120;112;-109;-64;;;;;
;;118;112;-182;-64;;;;;
;;112;112;-182;-64;;;;;
;;109;112;-182;-64;;;;;
;;106;112;-182;-108;;;;;
;;104;112;-182;-108;;;;;
;;96;112;-242;-108;;;;;
;;93;112;-242;-108;;;;;
;;89;112;-242;-108;;;;;
;;85;111;-242;-160;;;;;
;;78;106;-114;-160;;;;;
;;77;104;-114;-160;;;;;
;;75;101;-114;-160;;;;;
;;74;99;-114;-160;;;;;
;;71;92;-114;-496;;;;;
;;69;88;-169;-496;;;;;
;;67;84;-169;-496;;;;;
;;65;79;-169;-496;;;;;
;;60;70;-169;-470;;;;;
;;58;66;-169;-470;;;;;
;;56;62;-239;-470;;;;;
;;49;55;-239;-470;;;;;
;;46;51;-239;-470;;;;;
;;43;48;-239;-332;;;;;
;;39;44;-239;-332;;;;;
;;36;41;-222;-332;;;;;
;;29;34;-222;-332;;;;;
;;26;31;-222;-332;;;;;
;;23;27;-222;-332;;;;;
;;16;21;-222;-372;;;;;
;;14;16;-179;-372;;;;;
;;11;12;-179;-372;;;;;
;;9;8;-179;-372;;;;;
;;4;-1;-179;-304;;;;;
;;2;-5;-179;-304;;;;;
;;0;-9;-196;-304;;;;;
;;-3;-12;-196;-304;;;;;
;;-7;-16;-196;-304;;;;;
;;-13;-23;-196;-262;;;;;
;;-16;-28;-196;-262;;;;;
;;-19;-32;-193;-262;;;;;
;;-26;-42;-193;-262;;;;;
;;-29;-47;-193;-262;;;;;
;;-32;-50;-193;-197;;;;;
;;-35;-54;-193;-197;;;;;
;;-42;-60;-219;-197;;;;;
;;-45;-63;-219;-197;;;;;
;;-48;-66;-219;-197;;;;;
;;-51;-69;-219;-184;;;;;
;;-58;-74;-199;-184;;;;;
;;-61;-77;-199;-184;;;;;
;;-64;-80;-199;-184;;;;;
;;-68;-82;-199;-184;;;;;
;;-74;-87;-199;-165;;;;;
;;-77;-89;-168;-165;;;;;
;;-80;-92;-168;-165;;;;;
;;-82;-95;-168;-165;;;;;
;;-87;-100;-168;-165;;;;;
;;-90;-102;-168;-165;;;;;
;;-95;-107;-161;-165;;;;;
;;-97;-110;-161;-165;;;;;
;;-100;-112;-161;-165;;;;;
;;-102;-115;-161;-165;;;;;
;;-105;-117;-161;-148;;;;;
;;-107;-119;-161;-148;;;;;
;;-110;-123;-126;-148;;;;;
;;-112;-125;-126;-148;;;;;
;;-114;-127;-126;-148;;;;;
;;-117;-130;-126;-117;;;;;
;;-119;-130;-148;-117;;;;;
;;-121;-130;-148;-117;;;;;
;;-125;-130;-148;-117;;;;;
;;-127;-130;-148;0;;;;;
;;-129;-130;-148;0;;;;;
;;-130;-130;-43;0;;;;;
;;-130;-130;-43;0;;;;;
;;-130;-130;-43;0;;;;;
;;-130;-130;-43;-43;;;;;
;;-130;-130;-43;-43;;;;;
;;-130;-130;0;-43;;;;;
;;-130;-130;0;-43;;;;;
;;-130;-130;0;-43;;;;;
;;-130;-130;0;0;;;;;
;;-130;-130;0;0;;;;;
;;-130;-130;0;0;;;;;
;;-130;-130;0;0;;;;;
;;-130;-130;0;0;;;;;
;;-130;-130;0;0;;;;;
;;-130;-130;719;0;;;;;
;;-126;-130;719;0;;;;;
;;-122;-130;719;0;;;;;
;;-119;-130;719;0;;;;;
;;-111;-130;719;0;;;;;
;;-108;-130;1085;0;;;;;
;;-111;-130;1085;0;;;;;
;;-115;-130;1085;0;;;;;
