x;y
-120;127
-120;124
-120;120
-120;114
-120;110
-120;107
-120;103
-120;100
-120;92
-120;89
-120;85
-120;81
-120;74
-120;70
-120;67
-120;63
-120;56
-120;52
-120;48
-120;41
-120;41
-120;34
-120;30
-120;23
-120;23
-120;16
-120;12
-120;5
-120;5
-120;-1
-120;-5
-120;-12
-120;-12
-120;-20
-120;-23
-120;-32
-120;-37
-120;-42
-120;-46
-120;-51
-120;-57
-120;-59
-120;-62
-120;-67
-120;-70
-120;-72
-120;-75
-120;-77
-120;-82
-120;-85
-120;-87
-120;-89
-120;-93
-120;-95
-120;-97
-120;-101
-120;-103
-120;-106
-120;-108
-120;-112
-120;-114
-120;-116
-120;-118
-120;-120
-120;-123
-120;-125
-120;-126
-120;-129
-120;-129
-120;-130
-120;-130
-120;-130
-120;-130
-120;-130
-120;-130
-120;-130
-120;-130
-120;-130
-120;-130
-120;-130
-120;-130
-120;-130
-120;-130
-120;-130
-120;-130
