date;time;x;y;fx;fy
04/01/2023;11:23:19.404;120;-120;0;36
04/01/2023;11:23:19.467;120;-120;0;36
04/01/2023;11:23:19.529;120;-120;0;36
04/01/2023;11:23:19.592;120;-120;0;36
04/01/2023;11:23:19.654;120;-120;0;40
04/01/2023;11:23:19.717;120;-120;0;40
04/01/2023;11:23:19.779;120;-120;0;40
04/01/2023;11:23:19.842;120;-120;0;40
04/01/2023;11:23:19.904;120;-120;0;40
04/01/2023;11:23:19.967;120;-120;0;37
04/01/2023;11:23:20.029;120;-120;0;37
04/01/2023;11:23:20.092;120;-120;0;37
04/01/2023;11:23:20.154;120;-120;0;37
04/01/2023;11:23:20.217;120;-120;0;37
04/01/2023;11:23:20.279;120;-118;0;180
04/01/2023;11:23:20.342;120;-116;0;180
04/01/2023;11:23:20.404;120;-113;0;180
04/01/2023;11:23:20.467;120;-108;0;180
04/01/2023;11:23:20.529;120;-106;0;180
04/01/2023;11:23:20.592;120;-103;0;312
04/01/2023;11:23:20.654;120;-99;0;312
04/01/2023;11:23:20.717;120;-92;0;312
04/01/2023;11:23:20.779;120;-88;0;312
04/01/2023;11:23:20.842;120;-84;0;312
04/01/2023;11:23:20.904;120;-77;0;331
04/01/2023;11:23:20.967;120;-73;0;331
04/01/2023;11:23:21.029;120;-70;0;331
04/01/2023;11:23:21.092;120;-66;0;331
04/01/2023;11:23:21.154;120;-59;0;339
04/01/2023;11:23:21.217;120;-55;0;339
04/01/2023;11:23:21.279;120;-51;0;339
04/01/2023;11:23:21.342;120;-48;0;339
04/01/2023;11:23:21.404;120;-40;0;339
04/01/2023;11:23:21.467;120;-37;0;339
04/01/2023;11:23:21.529;120;-33;0;339
04/01/2023;11:23:21.592;120;-30;0;339
04/01/2023;11:23:21.654;120;-22;0;339
04/01/2023;11:23:21.717;120;-19;0;339
04/01/2023;11:23:21.779;120;-15;0;339
04/01/2023;11:23:21.842;120;-11;0;318
04/01/2023;11:23:21.904;120;-4;0;318
04/01/2023;11:23:21.967;120;0;0;318
04/01/2023;11:23:22.029;120;2;0;318
04/01/2023;11:23:22.092;120;6;0;318
04/01/2023;11:23:22.154;120;13;0;301
04/01/2023;11:23:22.217;120;17;0;301
04/01/2023;11:23:22.279;120;21;0;301
04/01/2023;11:23:22.342;120;24;0;301
