;time;x;y;fx;fy
;63;120;-120;82;0
;126;120;-120;82;0
;189;120;-120;82;0
;252;120;-120;0;0
;315;120;-120;0;0
;378;120;-120;0;0
;441;120;-120;0;0
;504;120;-120;0;0
;567;120;-120;0;0
;630;120;-120;0;0
;693;120;-120;0;0
;756;120;-120;0;0
;819;120;-120;0;0
;882;120;-120;0;0
;945;120;-120;0;0
;1008;120;-118;0;140
;1071;120;-116;0;140
;1134;120;-114;0;140
;1197;120;-112;0;140
;1260;120;-108;0;140
;1323;120;-105;0;313
;1386;120;-102;0;313
;1449;120;-98;0;313
;1512;120;-91;0;313
;1575;120;-87;0;313
;1638;120;-83;0;276
;1701;120;-78;0;276
;1764;120;-69;0;276
;1827;120;-64;0;276
;1890;120;-60;0;276
;1953;120;-55;0;219
;2016;120;-49;0;219
;2079;120;-45;0;219
;2142;120;-42;0;219
;2205;120;-35;0;180
;2268;120;-33;0;180
;2331;120;-30;0;180
;2394;120;-28;0;180
;2457;120;-25;0;180
;2520;120;-20;0;180
;2583;120;-17;0;225
;2646;120;-14;0;225
;2709;120;-10;0;225
;2772;120;-4;0;225
;2835;120;0;0;225
;2898;120;3;0;259
;2961;120;8;0;259
;3024;120;17;0;259
;3087;120;22;0;259
;3150;120;27;0;259
;3213;120;30;0;182
;3276;120;35;0;182
;3339;120;38;0;182
;3402;120;40;0;182
;3465;120;43;0;182
;3528;120;49;0;196
;3591;120;52;0;196
;3654;120;56;0;196
;3717;120;59;0;196
;3780;120;65;0;176
;3843;120;68;0;176
;3906;120;70;0;176
;3969;120;73;0;176
;4032;120;78;0;176
;4095;120;81;0;216
;4158;120;84;0;216
;4221;120;87;0;216
;4284;120;94;0;216
;4347;120;97;0;216
;4410;120;100;0;192
;4473;120;103;0;192
;4536;120;109;0;192
;4599;120;112;0;192
;4662;120;115;0;192
;4725;120;118;0;192
;4788;120;123;0;177
;4851;120;126;0;177
;4914;120;128;0;177
;4977;120;130;0;177
;5040;120;130;0;88
;5103;120;130;0;88
;5166;120;130;0;88
;5229;120;130;0;88
;5292;120;130;0;88
;5355;120;130;0;64
;5418;120;130;0;64
;5481;120;130;0;64
;5544;120;130;0;64
;5607;120;130;0;64
;5670;120;130;0;0
;5733;120;130;0;0
;5796;120;130;0;0
;5859;120;130;0;0
;5922;120;130;0;0
;5985;120;130;0;0
;6048;120;130;-38;0
;6111;120;130;-38;0
;6174;120;130;-38;0
;6237;120;130;-38;0
;6300;120;130;-38;-52
;6363;120;130;-75;-52
;6426;120;130;-75;-52
;6489;120;130;-75;-52
;6552;120;130;-75;-52
;6615;120;130;-75;-70
;6678;120;130;-105;-70
;6741;120;130;-105;-70
;6804;120;130;-105;-70
;6867;120;130;-105;-70
;6930;120;130;-105;-70
;6993;120;130;-105;-109
;7056;117;130;-117;-109
;7119;115;130;-117;-109
;7182;114;130;-117;-109
;7245;112;130;-117;-109
;7308;109;125;-153;-188
;7371;107;122;-153;-188
;7434;105;120;-153;-188
;7497;103;117;-153;-188
;7560;99;112;-153;-176
;7623;98;110;-36;-176
;7686;98;107;-36;-176
;7749;98;104;-36;-176
;7812;98;99;-36;-176
;7875;98;97;-36;-169
;7938;98;94;-66;-169
;8001;98;92;-66;-169
;8064;98;87;-66;-169
;8127;98;84;-66;-169
;8190;98;82;-66;-165
;8253;97;79;-125;-165
;8316;94;74;-125;-165
;8379;92;72;-125;-165
;8442;90;69;-125;-165
;8505;89;66;-125;-166
;8568;82;62;-274;-166
;8631;77;59;-274;-166
;8694;73;57;-274;-166
;8757;68;54;-274;-166
;8820;58;50;-308;-150
;8883;54;48;-308;-150
;8946;50;46;-308;-150
;9009;45;43;-308;-150
;9072;36;39;-308;-150
;9135;33;37;-308;-131
;9198;30;35;-186;-131
;9261;25;32;-186;-131
;9324;22;30;-186;-131
;9387;19;29;-186;-131
;9450;17;26;-186;-159
;9513;15;24;-140;-159
;9576;11;20;-140;-159
;9639;9;18;-140;-159
;9702;7;16;-140;-159
;9765;5;13;-140;-181
;9828;1;8;-128;-181
;9891;0;6;-128;-181
;9954;-1;3;-128;-181
;10017;-3;1;-128;-181
;10080;-7;-5;-145;-204
;10143;-9;-8;-145;-204
;10206;-11;-11;-145;-204
;10269;-13;-15;-145;-204
;10332;-17;-21;-145;-169
;10395;-19;-24;-147;-169
;10458;-21;-26;-147;-169
;10521;-23;-29;-147;-169
;10584;-27;-34;-147;-169
;10647;-29;-36;-147;-146
;10710;-31;-38;-155;-146
;10773;-35;-42;-155;-146
;10836;-37;-44;-155;-146
;10899;-39;-46;-155;-146
;10962;-41;-48;-155;-130
;11025;-46;-52;-160;-130
;11088;-48;-54;-160;-130
;11151;-50;-55;-160;-130
;11214;-55;-59;-160;-171
;11277;-57;-61;-160;-171
;11340;-59;-64;-131;-171
;11403;-61;-66;-131;-171
;11466;-64;-71;-131;-171
;11529;-66;-74;-131;-171
;11592;-68;-76;-131;-148
;11655;-69;-78;-115;-148
;11718;-71;-80;-115;-148
;11781;-74;-84;-115;-148
;11844;-75;-86;-115;-148
;11907;-77;-88;-115;-138
;11970;-78;-92;-106;-138
;12033;-78;-94;-106;-138
;12096;-78;-96;-106;-138
;12159;-78;-98;-106;-138
;12222;-78;-100;-106;-142
;12285;-80;-104;-114;-142
;12348;-81;-106;-114;-142
;12411;-83;-108;-114;-142
;12474;-84;-110;-114;-142
;12537;-88;-115;-161;-226
;12600;-90;-118;-161;-226
;12663;-93;-121;-161;-226
;12726;-95;-125;-161;-226
;12789;-100;-130;-161;-226
;12852;-102;-130;-216;-187
;12915;-106;-130;-216;-187
;12978;-110;-130;-216;-187
;13041;-117;-130;-216;-187
;13104;-121;-130;-216;-187
;13167;-125;-130;-204;-31
;13230;-131;-130;-204;-31
;13293;-133;-130;-204;-31
;13356;-136;-130;-204;-31
;13419;-139;-130;-204;-31
;13482;-143;-130;-55;0
;13545;-143;-130;-55;0
;13608;-143;-130;-55;0
;13671;-143;-130;-55;0
;13734;-143;-130;-55;0
;13797;-143;-130;-55;0
;13860;-143;-130;0;-39
;13923;-143;-130;0;-39
;13986;-143;-130;0;-39
;14049;-143;-130;0;-39
;14112;-143;-130;0;-33
;14175;-143;-130;0;-33
;14238;-143;-130;0;-33
;14301;-143;-130;0;-33
;14364;-143;-130;0;-33
;14427;-143;-130;0;0
;14490;-143;-130;0;0
;14553;-143;-130;0;0
;14616;-143;-130;0;0
;14679;-143;-130;0;0
;14742;-143;-130;0;0
;14805;-143;-130;0;0
;14868;-143;-130;0;0
;14931;-143;-130;0;0
;14994;-143;-130;57;0
;15057;-143;-130;57;0
;15120;-143;-130;57;0
;15183;-143;-130;57;0
;15246;-143;-130;57;0
;15309;-142;-130;354;0
;15372;-135;-130;354;0
;15435;-132;-130;354;0
;15498;-128;-130;354;0
;15561;-124;-130;354;0
;15624;-117;-130;551;0
;15687;-113;-130;551;0
;15750;-110;-130;551;0
;15813;-106;-130;551;0
;15876;-99;-130;551;0
;15939;-94;-130;257;0
;16002;-90;-130;257;0
;16065;-85;-130;257;0
;16128;-75;-130;257;0
;16191;-71;-130;257;0
;16254;-67;-130;386;0
;16317;-63;-130;386;0
;16380;-56;-130;386;0
;16443;-52;-130;386;0
;16506;-48;-130;386;0
;16569;-44;-130;282;0
;16632;-35;-130;282;0
;16695;-30;-130;282;0
;16758;-25;-130;282;0
;16821;-20;-130;282;0
;16884;-13;-130;318;0
;16947;-9;-130;318;0
;17010;-5;-130;318;0
;17073;1;-130;318;0
;17136;5;-130;200;0
;17199;8;-130;200;0
;17262;11;-130;200;0
;17325;18;-130;200;0
;17388;21;-130;200;0
;17451;24;-130;164;0
;17514;29;-130;164;0
;17577;29;-130;164;0
;17640;34;-130;164;0
;17703;36;-130;164;0
;17766;39;-130;198;0
;17829;45;-130;198;0
;17892;48;-130;198;0
;17955;52;-130;198;0
;18018;55;-130;198;0
;18081;61;-130;177;0
;18144;63;-130;177;0
;18207;66;-130;177;0
;18270;68;-130;177;0
;18333;73;-130;177;0
;18396;75;-130;122;0
;18459;77;-130;122;0
;18522;79;-130;122;0
;18585;82;-130;122;0
;18648;84;-130;122;0
;18711;85;-130;122;0
;18774;87;-130;137;0
;18837;91;-130;137;0
;18900;93;-130;137;0
;18963;95;-130;137;0
;19026;99;-130;162;0
;19089;99;-130;162;0
;19152;104;-130;162;0
;19215;107;-130;162;0
;19278;109;-130;162;0
;19341;114;-130;130;0
;19404;116;-130;130;0
;19467;117;-130;130;0
;19530;121;-130;130;0
;19593;121;-130;130;0
;19656;124;-130;0;0
;19719;124;-130;0;0
;19782;124;-130;0;0
;19845;124;-130;0;0
;19908;124;-130;0;0
;19971;124;-130;-51;0
;20034;124;-130;-51;0
;20097;124;-130;-51;0
;20160;124;-130;-51;0
;20223;124;-130;-51;0
;20286;124;-130;-51;0
;20349;124;-130;0;0
;20412;124;-130;0;0
;20475;124;-130;0;0
;20538;124;-130;0;0
;20601;124;-130;-43;0
;20664;124;-130;-43;0
;20727;124;-130;-43;0
;20790;124;-124;-43;420
;20853;124;-124;-43;420
;20916;124;-117;-61;420
;20979;124;-113;-61;420
;21042;124;-109;-61;420
;21105;124;-103;-61;223
;21168;124;-99;-61;223
;21231;124;-96;-61;223
;21294;123;-93;-231;223
;21357;120;-90;-231;223
;21420;113;-87;-231;0
;21483;109;-87;-231;0
;21546;105;-87;-231;0
;21609;97;-87;-748;-66
;21672;94;-87;-748;-66
;21735;90;-87;-748;-66
;21798;86;-87;-748;-66
;21861;82;-87;-748;-66
;21924;78;-87;-51;0
;21987;78;-87;-51;188
;22050;78;-82;-51;188
;22113;78;-82;-51;188
;22176;78;-77;-51;188
;22239;78;-74;-27;188
;22302;78;-71;-27;57
;22365;78;-71;-27;57
;22428;78;-71;-27;57
;22491;78;-71;-27;57
;22554;78;-71;-62;57
;22617;78;-71;-62;90
;22680;78;-71;-62;90
;22743;78;-71;-62;90
;22806;78;-71;-62;90
;22869;78;-71;-119;90
;22932;75;-71;-119;0
;22995;73;-71;-119;0
;23058;72;-71;-119;0
;23121;69;-71;-113;0
;23184;67;-71;-113;0
;23247;66;-70;-113;193
;23310;64;-68;-113;193
;23373;61;-62;-113;193
;23436;60;-59;-78;193
;23499;60;-56;-78;193
;23562;60;-51;-78;135
;23625;60;-51;-78;135
;23688;60;-47;-78;135
;23751;60;-45;-67;135
;23814;60;-42;-67;0
;23877;60;-42;-67;0
;23940;60;-42;-67;0
;24003;60;-42;-67;0
;24066;60;-42;-133;0
;24129;57;-42;-133;0
;24192;55;-42;-133;0
;24255;53;-42;-133;0
;24318;51;-42;-133;0
;24381;46;-42;-215;0
;24444;42;-42;-215;0
;24507;39;-42;-215;0
;24570;31;-42;-215;0
;24633;27;-42;-215;0
;24696;27;-42;-90;0
;24759;27;-42;-90;0
;24822;27;-40;-90;166
;24885;27;-35;-90;166
;24948;27;-32;-90;166
;25011;27;-30;-56;166
;25074;27;-27;-56;166
;25137;27;-22;-56;171
;25200;27;-20;-56;171
;25263;27;-17;-56;171
;25326;27;-15;-56;171
;25389;27;-11;-99;44
;25452;27;-11;-99;44
;25515;27;-11;-99;44
;25578;27;-11;-99;44
;25641;26;-11;-157;44
;25704;24;-11;-157;31
;25767;21;-11;-157;31
;25830;19;-11;-157;31
;25893;14;-11;-157;31
;25956;12;-11;-185;31
;26019;9;-11;-185;31
;26082;6;-11;-185;0
;26145;1;-11;-185;0
;26208;-1;-11;-185;0
;26271;-4;-11;-111;0
;26334;-6;-11;-111;0
;26397;-9;-8;-111;180
;26460;-10;-6;-111;180
;26523;-12;-3;-111;180
;26586;-13;-1;-97;180
;26649;-13;4;-97;180
;26712;-13;6;-97;144
;26775;-13;8;-97;144
;26838;-13;10;-97;144
;26901;-13;14;-96;144
;26964;-13;16;-96;144
;27027;-13;18;-96;144
;27090;-13;19;-96;48
;27153;-13;19;-96;48
;27216;-14;19;-132;48
;27279;-16;19;-132;48
;27342;-18;19;-132;48
;27405;-21;21;-132;124
;27468;-23;23;-132;124
;27531;-25;25;-154;124
;27594;-27;26;-154;124
;27657;-32;30;-154;132
;27720;-34;31;-154;132
;27783;-36;33;-154;132
;27846;-37;35;-91;132
;27909;-37;37;-91;132
;27972;-37;41;-91;232
;28035;-37;44;-91;232
;28098;-37;47;-91;232
;28161;-37;51;-103;232
;28224;-37;57;-103;232
;28287;-37;60;-103;122
;28350;-37;62;-103;122
;28413;-37;65;-103;122
;28476;-37;67;-103;122
;28539;-37;69;-103;122
;28602;-37;70;-103;74
;28665;-37;70;-103;74
;28728;-37;70;-149;74
;28791;-39;70;-149;74
;28854;-42;70;-149;74
;28917;-46;70;-149;0
;28980;-49;70;-149;0
;29043;-51;70;-149;0
;29106;-55;70;-250;0
;29169;-62;70;-250;0
;29232;-66;70;-250;0
;29295;-70;70;-250;0
;29358;-78;70;-250;0
;29421;-78;70;-250;0
;29484;-82;70;-138;0
;29547;-84;70;-138;94
;29610;-86;70;-138;94
;29673;-88;70;-138;94
;29736;-91;70;-98;94
;29799;-91;71;-98;125
;29862;-91;73;-98;125
;29925;-91;74;-98;125
;29988;-91;76;-98;125
;30051;-91;78;-99;125
;30114;-91;82;-99;236
;30177;-91;85;-99;236
;30240;-91;88;-99;236
;30303;-91;92;-99;236
;30366;-94;99;-152;236
;30429;-96;103;-152;198
;30492;-98;106;-152;198
;30555;-100;109;-152;198
;30618;-102;113;-152;198
;30681;-107;119;-189;198
;30744;-111;122;-189;0
;30807;-113;122;-189;0
;30870;-116;122;-189;0
;30933;-122;122;-122;0
;30996;-124;122;-122;0
;31059;-126;122;-122;0
;31122;-127;122;-122;64
;31185;-129;122;-122;64
;31248;-132;122;-122;64
;31311;-133;122;-60;64
;31374;-133;122;-60;88
;31437;-133;122;-60;88
;31500;-133;122;-60;88
;31563;-133;122;-60;88
;31626;-133;122;0;88
;31689;-133;122;0;83
;31752;-133;122;0;83
;31815;-133;122;0;83
;31878;-133;122;0;83
;31941;-133;122;0;83
;32004;-133;122;0;37
;32067;-133;122;0;37
;32130;-133;122;0;37
;32193;-133;122;0;37
;32256;-133;122;0;-41
;32319;-133;122;0;-41
;32382;-133;122;0;-41
;32445;-133;122;0;-41
;32508;-133;122;0;-41
;32571;-133;122;0;-137
